"Reference","Value","Datasheet","Footprint","Qty","DNP","mfr"
"C1,C13","0.1uF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","2","","  TAP104K050SCS"
"C2,C4,C5,C8,C11,C16,C19,C20","10uF","~","Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3","8","","  B32522C0106K000"
"C3,C23","33uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2","","  860010672011"
"C6,C9,C14,C17","47pF","~","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","4","","  FKP2O100471D00KSSD"
"C7,C10,C12,C15","47uF","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","4","","  ECA-2AM470BJ"
"C21,C22","680pF","~","Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","2","","  FKP2D006801D00KSSD"
"D1,D10","ZPD11","http://diotec.com/tl_files/diotec/files/pdf/datasheets/zpd1","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","2","","  ZPD11"
"D2,D3,D4,D5,D6,D7,D8,D9","1N4148","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","8","","  1N4148"
"J1,J7,J8,J9,J10,J12","Conn_01x01_Female","~","MountingHole:MountingHole_2.2mm_M2_ISO7380_Pad","6","",""
"J2,J4,J15,J21","XLR3","~","Connector_Wire:SolderWire-0.25sqmm_1x03_P4.5mm_D0.65mm_OD2mm","4","",""
"J3,J14","Potmeter ground A","~","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","2","",""
"J6,J13","potmeter ground B","~","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","2","",""
"R1,R9,R12,R18,R20,R23","100","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","6","","  YR1B100RCC"
"R2,R10,R16,R17","56K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","4","","  RNMF14FTC56K0"
"R3,R4,R14,R15","1G","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","4","","  RGP0207CHK1G0"
"R5,R6,R25,R26","4.7K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","4","","  RNMF14FTC4K70"
"R7,R8,R22,R24","470","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","4","","  MFR-25FTE52-470R"
"R11,R13,R19,R21","4K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","4","","  RN60D4001FRE6"
"R27,R28","150","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","2","","  RNF14FTD150R"
"U2","OPA1679","http://www.ti.com/lit/ds/symlink/opa1678.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1","","OPA1679IDR"
